Product ID,Product Name,Product Category,Target Market,Customer Segment,Customer Persona,Geography,Industry,Customer Pain Point,Value Proposition,Competitor Name,Competitor Price,Proposed Product Price,Pricing Model,Marketing Channel,Campaign Type,Campaign Budget,Expected Reach,Expected Leads,Expected Conversions,Conversion Rate %,Customer Acquisition Cost,Expected Revenue,Revenue Forecast,Market Demand Score,Product Readiness Score,Channel Effectiveness Score,Launch Risk Score,GTM Priority,Launch Phase,Launch Status,Price Discount %,Reach→Lead %,Lead→Conversion %,Campaign ROI %,Revenue per Conversion,Revenue / Budget,Efficiency Score
P011,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Ahmedabad,EdTech,Manual marketing analysis,Automated growth analytics,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Content Campaign,65000,50000,1000,120,12.0,542,179880,2158560,89,92,90,25,High,Launch,Active,25.012506253126567,2.0,12.0,176.73846153846154,1499.0,2.7673846153846156,87.2
P012,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CIO,Bengaluru,Banking,Legacy workflow systems,Enterprise-grade AI workflow layer,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,Industry Conference,180000,25000,350,42,12.0,4286,167958,2015496,95,87,92,35,Medium,Launch,Active,20.00400080016003,1.4000000000000001,12.0,-6.69,3999.0,0.9331,86.25
P013,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Jaipur,Hospitality,Manual booking administration,Automates routine bookings,TaskFlow,999,699,Monthly Subscription,Facebook,Local Campaign,40000,65000,1300,91,7.0,440,63609,763308,82,93,80,31,Medium,Pre-Launch,Ready,30.03003003003003,2.0,7.000000000000001,59.0225,699.0,1.590225,81.64999999999999
P014,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Delhi,FinTech,Difficult reporting process,AI-powered reporting and insights,WorkSmart,1999,1499,Monthly Subscription,Google Ads,Search Campaign,90000,60000,1200,156,13.0,577,233844,2806128,92,91,92,24,High,Launch,Active,25.012506253126567,2.0,13.0,159.82666666666668,1499.0,2.5982666666666665,88.55
P015,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,Operations Head,Mumbai,Logistics,Manual logistics coordination,AI-assisted operations planning,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Account-Based Marketing,140000,28000,420,63,15.0,2222,251937,3023244,94,90,93,28,High,Launch,Active,20.00400080016003,1.5,15.0,79.955,3999.0,1.79955,88.35000000000001
P016,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Pune,Design,Too many disconnected tools,Simple centralized productivity workspace,FreeTask,799,599,Monthly Subscription,Instagram,Organic Campaign,25000,70000,1400,98,7.0,255,58602,703224,85,96,88,20,High,Pre-Launch,Ready,25.03128911138923,2.0,7.000000000000001,134.408,597.9795918367347,2.34408,87.5
P017,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Chandigarh,Advertising,Client reporting takes too long,Automated client reporting,WorkSmart,1999,1499,Monthly Subscription,YouTube,Video Campaign,55000,75000,1500,150,10.0,367,224850,2698200,88,92,86,27,High,Launch,Active,25.012506253126567,2.0,10.0,308.8181818181818,1499.0,4.088181818181818,85.5
P018,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,Hyderabad,Healthcare,Sensitive workflow management,Secure AI workflow automation,EnterpriseFlow,4999,3999,Enterprise Subscription,LinkedIn,Lead Generation,110000,40000,500,55,11.0,2000,219945,2639340,93,89,91,33,High,Launch,Active,20.00400080016003,1.25,11.0,99.95,3999.0,1.9995,86.30000000000001
P019,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Kochi,Travel,Manual customer follow-ups,Automated customer task reminders,TaskFlow,999,699,Monthly Subscription,Email,Drip Campaign,28000,42000,840,67,8.0,418,46833,561996,81,94,83,24,Medium,Pre-Launch,Ready,30.03003003003003,2.0,7.976190476190475,67.26071428571429,699.0,1.672607142857143,83.75
P020,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Mumbai,E-commerce,Low marketing productivity,AI-driven campaign recommendations,WorkSmart,1999,1499,Monthly Subscription,Influencer,Influencer Campaign,70000,90000,1800,198,11.0,354,296802,3561624,91,93,89,26,High,Launch,Active,25.012506253126567,2.0,11.0,324.0028571428571,1499.0,4.240028571428572,87.6
P021,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CFO,Delhi,Financial Services,Manual financial workflows,Automated financial operations,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,Executive Event,160000,22000,330,40,12.12,4000,159960,1919520,94,86,90,37,Medium,Launch,Active,20.00400080016003,1.5,12.121212121212121,-0.025,3999.0,0.99975,84.80000000000001
P022,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Nagpur,Retail,High software costs,Affordable productivity automation,TaskFlow,999,699,Monthly Subscription,Facebook,Paid Ads,35000,58000,1160,81,6.98,432,56619,679428,83,95,81,29,Medium,Pre-Launch,Ready,30.03003003003003,2.0,6.982758620689655,61.76857142857143,699.0,1.6176857142857144,83.10000000000001
P023,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Bengaluru,SaaS,Poor team coordination,Collaborative AI workspace,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Webinar,70000,52000,1040,135,12.98,519,202365,2428380,93,94,94,21,High,Launch,Active,25.012506253126567,2.0,12.980769230769232,189.09285714285716,1499.0,2.8909285714285713,90.7
P024,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,COO,Chennai,Manufacturing,Slow operational decisions,Real-time operational intelligence,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Executive Outreach,130000,26000,390,55,14.1,2364,219945,2639340,92,90,95,26,High,Launch,Active,20.00400080016003,1.5,14.102564102564102,69.18846153846154,3999.0,1.6918846153846154,88.64999999999999
P025,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Goa,Creative Services,Manual project tracking,Easy AI project tracking,FreeTask,799,599,Monthly Subscription,YouTube,Tutorial Campaign,30000,78000,1560,109,6.99,275,65291,783492,80,96,87,23,High,Pre-Launch,Ready,25.03128911138923,2.0,6.987179487179487,117.63666666666666,599.0,2.1763666666666666,85.15
P026,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Delhi,Marketing,Managing campaign deadlines,AI campaign planning,WorkSmart,1999,1499,Monthly Subscription,Instagram,Reels Campaign,50000,85000,1700,187,11.0,267,280313,3363756,90,93,90,24,High,Launch,Active,25.012506253126567,2.0,11.0,460.626,1499.0,5.60626,87.95
P027,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,Mumbai,Technology,Complex approval chains,Automated approval workflows,EnterpriseFlow,4999,3999,Enterprise Subscription,Email,ABM Campaign,90000,32000,480,58,12.08,1552,231942,2783304,95,91,92,29,High,Launch,Active,20.00400080016003,1.5,12.083333333333334,157.71333333333334,3999.0,2.5771333333333333,88.45
P028,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Bengaluru,Technology,Limited staff capacity,AI assistant for small teams,TaskFlow,999,699,Monthly Subscription,Google Ads,Paid Search,55000,50000,1000,85,8.5,647,59415,712980,89,95,88,22,High,Pre-Launch,Ready,30.03003003003003,2.0,8.5,8.027272727272727,699.0,1.0802727272727273,88.05000000000001
P029,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Pune,EdTech,Slow lead follow-up,Automated lead prioritization,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Lead Campaign,60000,48000,960,115,11.98,522,172385,2068620,91,92,91,25,High,Launch,Active,25.012506253126567,2.0,11.979166666666668,187.30833333333334,1499.0,2.873083333333333,88.05
P030,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,HR Director,Hyderabad,Healthcare,Manual employee onboarding,AI-powered onboarding workflows,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,HR Conference,100000,18000,270,32,11.85,3125,127968,1535616,90,88,87,34,Medium,Launch,Active,20.00400080016003,1.5,11.851851851851853,27.968,3999.0,1.27968,83.95
P031,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Surat,Textiles,Manual inventory tasks,Low-cost inventory workflows,TaskFlow,999,699,Monthly Subscription,Facebook,Paid Ads,32000,54000,1080,76,7.04,421,53124,637488,84,94,82,28,Medium,Pre-Launch,Ready,30.03003003003003,2.0,7.037037037037037,66.0125,699.0,1.660125,83.60000000000001
P032,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Mumbai,SaaS,Slow product reporting,Automated product analytics,WorkSmart,1999,1499,Monthly Subscription,Google Ads,Search Campaign,75000,53000,1060,138,13.02,543,206862,2482344,94,94,93,20,High,Launch,Active,25.012506253126567,2.0,13.018867924528301,175.816,1499.0,2.75816,90.95
P033,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CIO,Bengaluru,Banking,Strict compliance requirements,Secure auditable automation,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Account-Based Campaign,175000,24000,360,50,13.89,3500,199950,2399400,96,89,94,38,Medium,Launch,Active,20.00400080016003,1.5,13.88888888888889,14.257142857142856,3999.0,1.1425714285714286,86.95
P034,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Ahmedabad,Consulting,Manual client documentation,Automated document workflows,FreeTask,799,599,Monthly Subscription,Instagram,Organic Campaign,22000,62000,1240,87,7.02,253,52113,625356,82,97,89,19,High,Pre-Launch,Ready,25.03128911138923,2.0,7.016129032258064,136.87727272727273,599.0,2.3687727272727273,87.3
P035,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Kolkata,Advertising,Unclear campaign performance,AI performance insights,WorkSmart,1999,1499,Monthly Subscription,YouTube,Product Demo,48000,68000,1360,143,10.51,336,214357,2572284,89,91,88,27,High,Launch,Active,25.012506253126567,2.0,10.514705882352942,346.57708333333335,1499.0,4.465770833333333,86.05000000000001
P036,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,Operations Head,Chennai,Logistics,Manual shipment workflows,Automated logistics coordination,EnterpriseFlow,4999,3999,Enterprise Subscription,LinkedIn,Industry Webinar,95000,30000,450,59,13.11,1610,235941,2831292,92,90,91,30,High,Launch,Active,20.00400080016003,1.5,13.111111111111112,148.35894736842107,3999.0,2.4835894736842103,86.85
P037,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Jaipur,Travel,Scattered team tasks,Affordable centralized workspace,TaskFlow,999,699,Monthly Subscription,Email,Startup Campaign,27000,44000,880,70,7.95,386,48930,587160,83,95,85,21,High,Pre-Launch,Ready,30.03003003003003,2.0,7.954545454545454,81.22222222222221,699.0,1.8122222222222222,85.7
P038,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Delhi,E-commerce,High customer acquisition cost,AI-assisted growth optimization,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Thought Leadership,65000,57000,1140,148,12.98,439,221852,2662224,93,92,92,23,High,Launch,Active,25.012506253126567,2.0,12.982456140350877,241.3107692307692,1499.0,3.413107692307692,89.30000000000001
P039,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,Pune,IT Services,Multiple disconnected systems,Unified enterprise automation,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Enterprise Demo,120000,27000,405,54,13.33,2222,215946,2591352,94,90,93,27,High,Launch,Active,20.00400080016003,1.5,13.333333333333334,79.955,3999.0,1.79955,88.55000000000001
P040,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Lucknow,Hospitality,Manual customer service,Affordable support automation,TaskFlow,999,699,Monthly Subscription,Facebook,Local Ads,30000,50000,1000,65,6.5,462,45435,545220,80,94,79,33,Medium,Pre-Launch,Ready,30.03003003003003,2.0,6.5,51.449999999999996,699.0,1.5145,80.65
P041,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Bengaluru,Technology,Lack of product insights,AI-driven product decision support,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Product Webinar,80000,62000,1240,161,12.98,497,241339,2896068,95,94,94,18,High,Launch,Active,25.012506253126567,2.0,12.983870967741936,201.67375,1499.0,3.0167375,91.9
P042,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CFO,Mumbai,FinTech,Slow financial reporting,Automated financial dashboards,EnterpriseFlow,4999,3999,Enterprise Subscription,Email,Finance Campaign,85000,28000,420,57,13.57,1491,227943,2735316,93,91,90,28,High,Launch,Active,20.00400080016003,1.5,13.571428571428571,168.16823529411764,3999.0,2.6816823529411766,87.55000000000001
P043,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Pune,Design,Expensive software subscriptions,Affordable productivity suite,FreeTask,799,599,Monthly Subscription,YouTube,Educational Campaign,26000,72000,1440,101,7.01,257,60499,725988,84,96,90,20,High,Pre-Launch,Ready,25.03128911138923,2.0,7.013888888888889,132.68846153846155,599.0,2.3268846153846154,87.7
P044,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Hyderabad,Digital Marketing,Client approvals are slow,Automated approval and reporting,WorkSmart,1999,1499,Monthly Subscription,Influencer,Case Study Campaign,62000,76000,1520,167,10.99,371,250333,3003996,90,93,87,26,High,Launch,Active,25.012506253126567,2.0,10.986842105263158,303.76290322580644,1499.0,4.037629032258065,86.8
P045,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,COO,Delhi,Manufacturing,Low operational visibility,AI-powered operations dashboard,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,Operations Summit,145000,21000,315,44,13.97,3295,175956,2111472,95,89,91,36,Medium,Launch,Active,20.00400080016003,1.5,13.968253968253968,21.348965517241382,3999.0,1.2134896551724137,86.3
P046,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Chennai,SaaS,Too many manual tasks,Affordable workflow automation,TaskFlow,999,699,Monthly Subscription,Instagram,Startup Ads,38000,68000,1360,95,6.99,400,66405,796860,87,95,86,24,High,Pre-Launch,Ready,30.03003003003003,2.0,6.985294117647059,74.75,699.0,1.7475,86.55
P047,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Mumbai,Retail,Poor customer segmentation,AI customer insights,WorkSmart,1999,1499,Monthly Subscription,Google Ads,Performance Campaign,68000,59000,1180,153,12.97,444,229347,2752164,92,93,91,22,High,Launch,Active,25.012506253126567,2.0,12.966101694915256,237.27499999999998,1499.0,3.37275,89.19999999999999
P048,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,Ahmedabad,Manufacturing,Complex user permissions,Enterprise access management,EnterpriseFlow,4999,3999,Enterprise Subscription,LinkedIn,ABM Campaign,115000,26000,390,52,13.33,2212,207948,2495376,94,92,94,24,High,Launch,Active,20.00400080016003,1.5,13.333333333333334,80.82434782608696,3999.0,1.8082434782608696,89.9
P049,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Kochi,E-commerce,Manual order coordination,Simple automated order workflows,TaskFlow,999,699,Monthly Subscription,Email,E-commerce Campaign,24000,39000,780,57,7.31,421,39843,478116,81,94,82,29,Medium,Pre-Launch,Ready,30.03003003003003,2.0,7.307692307692308,66.0125,699.0,1.660125,82.5
P050,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Delhi,SaaS,Slow customer feedback analysis,AI feedback analysis,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Research Webinar,58000,47000,940,122,12.98,475,182878,2194536,93,92,90,23,High,Launch,Active,25.012506253126567,2.0,12.978723404255318,215.30689655172415,1499.0,3.1530689655172415,88.80000000000001
P051,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,HR Director,Bengaluru,IT Services,High employee administration,Automated HR workflows,EnterpriseFlow,4999,3999,Enterprise Subscription,Email,HR Outreach,65000,25000,375,48,12.8,1354,191952,2303424,91,90,89,31,High,Launch,Active,20.00400080016003,1.5,12.8,195.3107692307692,3999.0,2.953107692307692,85.85
P052,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Goa,Travel,Manual booking follow-ups,Automated client reminders,FreeTask,799,599,Monthly Subscription,Instagram,Travel Creator Campaign,28000,64000,1280,90,7.03,311,53910,646920,83,96,88,21,High,Pre-Launch,Ready,25.03128911138923,2.0,7.03125,92.53571428571429,599.0,1.9253571428571428,86.7
P053,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Pune,Advertising,Slow campaign reporting,Automated marketing reports,WorkSmart,1999,1499,Monthly Subscription,YouTube,Agency Campaign,52000,71000,1420,156,10.99,333,233844,2806128,91,93,89,25,High,Launch,Active,25.012506253126567,2.0,10.985915492957748,349.7,1499.0,4.497,87.8
P054,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CIO,Mumbai,Banking,Manual compliance reporting,Automated compliance workflows,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,Banking Summit,190000,20000,300,39,13.0,4872,155961,1871532,97,87,91,42,Medium,Launch,Active,20.00400080016003,1.5,13.0,-17.91526315789474,3999.0,0.8208473684210527,85.19999999999999
P055,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Hyderabad,EdTech,High administrative workload,AI admin assistant,TaskFlow,999,699,Monthly Subscription,Google Ads,Startup Search,42000,47000,940,76,8.09,553,53124,637488,86,95,85,23,High,Pre-Launch,Ready,30.03003003003003,2.0,8.085106382978724,26.485714285714284,699.0,1.264857142857143,86.2
P056,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Chennai,Marketing,Manual audience research,AI audience insights,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Research Campaign,62000,54000,1080,141,13.06,440,211359,2536308,94,93,92,21,High,Launch,Active,25.012506253126567,2.0,13.055555555555557,240.9016129032258,1499.0,3.409016129032258,90.25
P057,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,Operations Head,Delhi,Logistics,High logistics coordination cost,AI logistics workflow automation,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Logistics Outreach,125000,23000,345,51,14.78,2451,203949,2447388,93,90,94,29,High,Launch,Active,20.00400080016003,1.5,14.782608695652174,63.159200000000006,3999.0,1.631592,88.10000000000001
P058,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Surat,Retail,Manual customer follow-up,Affordable customer automation,TaskFlow,999,699,Monthly Subscription,Facebook,Retail Campaign,33000,57000,1140,79,6.93,418,55221,662652,82,94,81,30,Medium,Pre-Launch,Ready,30.03003003003003,2.0,6.9298245614035086,67.33636363636364,699.0,1.6733636363636364,82.35
P059,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Bengaluru,SaaS,Too much product data,AI product analytics,WorkSmart,1999,1499,Monthly Subscription,Google Ads,Product Campaign,74000,61000,1220,160,13.11,463,239840,2878080,95,94,95,19,High,Launch,Active,25.012506253126567,2.0,13.114754098360656,224.10810810810813,1499.0,3.2410810810810813,91.95
P060,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CFO,Mumbai,Financial Services,Slow revenue reporting,Real-time revenue intelligence,EnterpriseFlow,4999,3999,Enterprise Subscription,LinkedIn,CFO Campaign,100000,30000,450,63,14.0,1587,251937,3023244,95,91,93,25,High,Launch,Active,20.00400080016003,1.5,14.000000000000002,151.937,3999.0,2.51937,89.5
P061,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Pune,Professional Services,Manual invoices and tasks,Affordable business automation,FreeTask,799,599,Monthly Subscription,Email,Freelancer Campaign,21000,50000,1000,70,7.0,300,41930,503160,82,97,89,18,High,Pre-Launch,Ready,25.03128911138923,2.0,7.000000000000001,99.66666666666667,599.0,1.9966666666666666,87.5
P062,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Delhi,Digital Marketing,Too many client tools,Unified agency workspace,WorkSmart,1999,1499,Monthly Subscription,Instagram,Agency Influencer Campaign,58000,79000,1580,173,10.95,335,259227,3110724,91,93,90,24,High,Launch,Active,25.012506253126567,2.0,10.949367088607595,346.94310344827585,1498.421965317919,4.469431034482759,88.25
P063,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,Chennai,Healthcare,Manual system monitoring,AI-powered monitoring,EnterpriseFlow,4999,3999,Enterprise Subscription,Events,Technology Summit,130000,19000,285,37,12.98,3514,147963,1775556,92,88,90,35,Medium,Launch,Active,20.00400080016003,1.5,12.982456140350877,13.817692307692308,3999.0,1.138176923076923,85.1
P064,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Kolkata,E-commerce,High workload with small team,AI assistant for lean teams,TaskFlow,999,699,Monthly Subscription,YouTube,Founder Campaign,32000,61000,1220,87,7.13,368,60813,729756,85,95,86,22,High,Pre-Launch,Ready,30.03003003003003,2.0,7.131147540983607,90.04062499999999,699.0,1.90040625,86.35
P065,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,Ahmedabad,Retail,Unclear campaign ROI,AI-powered marketing ROI analysis,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,ROI Webinar,70000,56000,1120,146,13.04,479,218854,2626248,93,92,93,20,High,Launch,Active,25.012506253126567,2.0,13.035714285714286,212.64857142857144,1499.0,3.1264857142857143,90.15
P066,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,COO,Pune,Manufacturing,Slow production reporting,Automated production intelligence,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Manufacturing Outreach,155000,25000,375,58,15.47,2672,231942,2783304,94,90,95,27,High,Launch,Active,20.00400080016003,1.5,15.466666666666667,49.64,3999.0,1.4964,89.05000000000001
P067,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Nashik,Hospitality,Manual booking management,Easy automated booking workflows,TaskFlow,999,699,Monthly Subscription,Facebook,Hospitality Ads,29000,48000,960,63,6.56,460,44037,528444,79,93,80,34,Medium,Pre-Launch,Ready,30.03003003003003,2.0,6.5625,51.85172413793103,699.0,1.5185172413793104,80.15
P068,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Bengaluru,Technology,Slow feature analysis,AI-powered feature insights,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Product Marketing Campaign,64000,59000,1180,155,13.14,413,232345,2788140,96,95,96,17,High,Launch,Active,25.012506253126567,2.0,13.135593220338984,263.0390625,1499.0,3.630390625,93.15
P069,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,CIO,Delhi,FinTech,High security requirements,Secure enterprise AI automation,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,FinTech Outreach,180000,22000,330,47,14.24,3830,187953,2255436,97,89,94,39,Medium,Launch,Active,20.00400080016003,1.5,14.242424242424242,4.418333333333333,3999.0,1.0441833333333332,87.05
